sales_date,category,advertising_vnd,online_ads_vnd,social_media_vnd,price_vnd,discount_percent,stores_count,weather,holiday,sales_vnd,uploaded_by
2021-01-01,Áo,811000,2530000,466000,265828,0.37,23,Lạnh,0,68251636,1
2021-01-01,Quần,552000,2725000,355000,359028,0.1,23,Lạnh,0,39951088,1
2021-01-01,Váy,4433000,1245000,1648000,473916,0.13,23,Lạnh,0,35312941,1
2021-01-01,Áo khoác,928000,758000,539000,1325817,0.14,23,Lạnh,0,97423821,1
2021-01-01,Giày,3776000,2596000,1458000,550231,0.08,23,Lạnh,0,77567627,1
2021-01-02,Áo,1286000,1712000,1753000,162940,0.42,11,Nắng,1,119295805,1
2021-01-02,Quần,2025000,2167000,534000,266932,0.31,11,Nắng,1,113863235,1
2021-01-02,Váy,2393000,869000,789000,426377,0.42,11,Nắng,1,132892445,1
2021-01-02,Áo khoác,2001000,457000,1584000,900043,0.25,11,Nắng,1,103103218,1
2021-01-02,Giày,604000,2902000,407000,324648,0.26,11,Nắng,1,102474149,1
2021-01-03,Áo,4378000,1270000,1796000,182966,0.31,22,Mưa,0,95858970,1
2021-01-03,Quần,2580000,1250000,1218000,505733,0.19,22,Mưa,0,56824832,1
2021-01-03,Váy,4640000,1250000,508000,363639,0.25,22,Mưa,0,68291303,1
2021-01-03,Áo khoác,3107000,2204000,925000,696331,0.27,22,Mưa,0,87220650,1
2021-01-03,Giày,3186000,344000,1291000,342598,0.48,22,Mưa,0,88166497,1
2021-01-04,Áo,3754000,2834000,186000,340271,0.44,20,Lạnh,0,85196186,1
2021-01-04,Quần,1324000,2769000,102000,425309,0.06,20,Lạnh,0,43549594,1
2021-01-04,Váy,4612000,1000000,471000,396569,0.02,20,Lạnh,0,30849561,1
2021-01-04,Áo khoác,3275000,1685000,1651000,1105538,0.34,20,Lạnh,0,205584955,1
2021-01-04,Giày,806000,2629000,741000,548004,0.02,20,Lạnh,0,36988121,1
2021-01-05,Áo,3251000,872000,1146000,167118,0.03,14,Lạnh,1,75036614,1
2021-01-05,Quần,1353000,526000,197000,272616,0.08,14,Lạnh,1,60391726,1
2021-01-05,Váy,2974000,1614000,769000,331870,0.18,14,Lạnh,1,58902328,1
2021-01-05,Áo khoác,2867000,829000,1874000,452795,0.22,14,Lạnh,1,353395061,1
2021-01-05,Giày,2204000,2219000,1645000,397462,0.26,14,Lạnh,1,166492568,1
2021-01-06,Áo,4670000,2331000,420000,326336,0.5,23,Lạnh,0,107734382,1
2021-01-06,Quần,4887000,2393000,633000,515228,0.19,23,Lạnh,0,67945037,1
2021-01-06,Váy,3194000,2228000,919000,558009,0.12,23,Lạnh,0,39857466,1
2021-01-06,Áo khoác,1400000,1394000,466000,1237163,0.29,23,Lạnh,0,160689855,1
2021-01-06,Giày,3961000,2224000,1307000,432201,0.11,23,Lạnh,0,78010441,1
2021-01-07,Áo,1936000,1557000,516000,309094,0.47,14,Lạnh,0,35384975,1
2021-01-07,Quần,1755000,2671000,828000,513749,0.13,14,Lạnh,0,33951228,1
2021-01-07,Váy,3913000,1749000,1337000,277506,0.49,14,Lạnh,0,44251190,1
2021-01-07,Áo khoác,338000,2908000,947000,1214601,0.21,14,Lạnh,0,100265475,1
